id;code_postal;latitude;longitude
1672;04860;43.807518;5.7230525
415;02300;49.5967484;3.18002486
436;02130;49.256012;3.47302532
445;02420;50.024231;3.26200557
459;02140;49.798542;4.0359478
649;02650;49.0424805;3.5190444
695;59360;50.0505333;3.52602053
707;02510;50.0025902;3.66127276
739;02760;49.8575172;3.22661185
932;02610;49.7483292;3.35435939
1224;03120;46.2503777;3.74028683
1242;03330;46.2091103;3.06516171
1250;03260;46.2289848;3.43980527
1298;03450;46.1281166;3.0015974
1312;03240;46.4427528;3.16347456
1468;42620;46.1915627;3.7681756
1540;04170;43.976593;6.58731604
1552;04380;44.1932564;6.17099476
1580;04280;43.8567009;5.59851265
268;01960;46.1697197;5.21130037
418;02340;49.7193069;3.96414542
428;02700;49.6234932;3.29619098
440;02330;48.8929214;3.49594164
450;02120;49.8677864;3.63114309
464;02380;49.5291977;3.38798189
481;02440;49.7533379;3.31157804
554;02260;49.9720306;3.90685987
749;02430;49.8238792;3.28457332
903;02390;49.8536224;3.51745582
1227;03420;46.2294197;2.66684246
1247;03170;46.4065552;2.73958421
1545;04240;43.9588585;6.66561127
1549;04110;43.9327812;5.68063068
1599;04220;43.7632065;5.74032688
224;01600;45.9095573;4.83147717
420;02110;49.9314728;3.50855827
433;02480;49.7130928;3.17492914
443;02840;49.5760002;3.68977189
457;02400;49.0030823;3.35645318
697;02690;49.7744484;3.26738024
974;02550;49.8829193;4.01311016
1225;03380;46.3681679;2.40546417
1243;03700;46.1141701;3.39510942
1263;03110;46.2018967;3.27900982
1304;03430;46.4862099;2.82210803
1542;04800;43.7451706;5.98362446
1555;04150;44.0248756;5.64988422
1578;04320;44.0354309;6.75007725
1676;05160;44.4995079;6.37142372
1740;04130;43.8765564;5.82969236
421;02820;49.487587;3.82012129
434;02500;49.8856163;4.21378565
447;02590;49.774971;3.11669397
460;02160;49.3529739;3.67465878
482;02450;50.0302849;3.71018863
555;02680;49.8033142;3.25119567
724;02520;49.7096405;3.19316626
788;02720;49.8519287;3.37598586
1230;03190;46.4640083;2.56802082
1240;03390;46.2766075;2.88368511
1261;03350;46.5904655;2.71747065
1283;03510;46.437458;3.97102118
1543;04260;44.2598152;6.62708282
1591;04350;44.0343208;6.05161858
1639;04870;43.9099426;5.72105312
1738;04180;43.8970757;5.84765053
1751;05230;44.5296936;6.19327736
1686;06260;43.909008;6.87136459
1748;05140;44.4950066;5.71714163
1759;05500;44.7019424;6.0859971
1902;05480;44.9965668;6.36129713
1919;06450;44.0568886;7.36505175
1929;06540;43.9354057;7.50793552
1977;06520;43.6547623;6.93344069
2000;06650;43.658329;7.00628138
2076;07200;44.6004715;4.33298588
2087;07290;45.1920013;4.74414778
2098;07460;44.3601646;4.14822483
2156;07360;44.8348503;4.64870834
2180;07660;44.7758255;4.01445055
2419;08300;49.4937363;4.32762527
2447;08320;50.0921516;4.76330757
2460;08430;49.599823;4.66374207
2495;08230;49.8949699;4.55273914
2877;09310;42.7614555;1.69850659
2896;09110;42.715416;1.92447603
1745;05300;44.2474861;5.82138205
1757;05000;44.56427;6.15263414
1883;05240;44.9599609;6.57541609
1909;06160;43.5722237;7.11953592
1920;06390;43.8297653;7.28360176
1938;06340;43.7692108;7.31383944
1997;06100;43.7103767;7.2679944
2049;06590;43.4952965;6.93896008
2075;07160;44.8912048;4.38716078
2082;07210;44.7050591;4.62057352
2092;07330;44.6916275;4.02491474
2100;07630;44.8578606;4.13226223
2119;07450;44.7472382;4.24078655
2143;07470;44.7907906;3.95939469
2430;08500;49.9211922;4.66622877
2436;08250;49.2581253;4.96425343
2471;08140;49.7131386;5.02600527
2499;08120;49.8463478;4.74700928
2525;08360;49.5244942;4.24410057
2550;08800;49.8793678;4.69178581
2878;09320;42.8955727;1.26878667
2886;09000;42.9799919;1.63215983
2905;09230;43.0794678;1.07223332
1747;05350;44.7644424;6.72518921
1770;05310;44.7197418;6.52371931
1813;05220;45.0147171;6.45920372
1828;05170;44.6835289;6.34973145
1918;06240;43.7473221;7.41975594
1925;06440;43.7960358;7.35931587
1937;06110;43.5719337;7.00107002
1957;06140;43.7836838;7.04134369
1986;06710;43.9172058;7.14050817
1999;06300;43.7103767;7.2679944
2034;06700;43.6784058;7.17890167
2066;06220;43.5733223;7.06225109
2080;07190;44.8193092;4.41797447
2086;07310;44.8986359;4.31649399
2108;07700;44.3443184;4.54360819
2137;07380;44.6879387;4.29331017
2153;07320;45.0687866;4.3970437
2423;08310;49.4068832;4.34835291
2431;08240;49.411499;5.07502651
2446;08270;49.5572395;4.4853487
2459;08000;49.7225876;4.75117016
